Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,4,C3,CONTROL 3,yy622,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,6,B def,Bitter - DEF,yy622,,,,2,,,,,,,,,,,,,,,3,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,8,C4,CONTROL 4,yy622,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,8,C1,CONTROL 1,av354,,,,,1,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,9,M def,Malty - DEF,av354,,,,,,,,,,,,,2,,,,,,3,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,7,FF def,Fruity Fermented - DEF,av354,,,,,,,,,2,,,,,,,,,,3,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,5,C2,CONTROL 2,av354,,,,,,,,,,,,,,,,,,,10,Control
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,3,MC def,Milk Carton - DEF,av354,2,,,,,,,,,,,,,,,,,,3,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,1,LO def,Light Oxidized - DEF,av354,,,,,,,,,,,,,,2,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,2,C3,CONTROL 3,av354,,,,,,,2,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,4,B def,Bitter - DEF,av354,,,,1,,,,,,,,,,,,,,,5,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,6,C4,CONTROL 4,av354,,,,,,,,,,,1,,,,,,,,7,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,6,C1,CONTROL 1,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,8,M def,Malty - DEF,cjh263,,,,,,,,,,,,,2,,,,,,3,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,9,FF def,Fruity Fermented - DEF,cjh263,,,,,,,,,1,,,,,,,,,,5,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,7,C2,CONTROL 2,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,5,MC def,Milk Carton - DEF,cjh263,,,,,,,,,,,,,,1,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,3,LO def,Light Oxidized - DEF,cjh263,,,,,,,,,,,2,,,,,,,,6,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,1,C3,CONTROL 3,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,2,B def,Bitter - DEF,cjh263,,,,1,,,,,,,,,,,,,,,5,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,4,C4,CONTROL 4,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,4,C1,CONTROL 1,eg554,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,6,M def,Malty - DEF,eg554,,,,,,,,,,,,,2,,,,,,3,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,8,FF def,Fruity Fermented - DEF,eg554,,,,,,,,,2,,,,,,,,,,3,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,9,C2,CONTROL 2,eg554,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,7,MC def,Milk Carton - DEF,eg554,,,,,,,,,,,2,,,,,,,,6,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,5,LO def,Light Oxidized - DEF,eg554,,,,,,,,,,,,,,2,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,3,C3,CONTROL 3,eg554,,,,,,,2,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,1,B def,Bitter - DEF,eg554,,,,2,,,,,,,,,,,,,,,3,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,2,C4,CONTROL 4,eg554,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,2,C1,CONTROL 1,sw38,,,,,,,,,,,,,,,,,,,9,"Similar with this sample, ran out..."
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,4,M def,Malty - DEF,sw38,,,,,,,,,,,,,1,,,,,,5,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,6,FF def,Fruity Fermented - DEF,sw38,,,,,,,,,1,,,,,,,,,,4,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,8,C2,CONTROL 2,sw38,,,,,1,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,9,MC def,Milk Carton - DEF,sw38,,,,,,,,,,,,,,1.5,,,,,8.5,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,7,LO def,Light Oxidized - DEF,sw38,,,,,,,,,,,1,,,,,,,,7,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,5,C3,CONTROL 3,sw38,,,,,1,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,3,B def,Bitter - DEF,sw38,,,,2,,,,,,,,,,,,,,,3,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK ,1,C4,CONTROL 4,sw38,,,,,,,,,,,,,,,,,,,9,"Didn't have lingering sweet taste, but also wasn't obviously flat to me"
,,,,,,,,,,,,,,,,,,,,,,,,,
Section Name,2% WHITE MILK,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Sample Name,Product Code,Product Name,Sample Type,,,,,,,,,,,,,,,,,,,,,
1,A def,2001,Acid - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
2,C5,P611,CONTROL 5,Sample,,,,,,,,,,,,,,,,,,,,,
3,R def,2017,Rancid - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
4,FLdef,2009,Flat - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
5,C6,P612,CONTROL 6,Sample,,,,,,,,,,,,,,,,,,,,,
6,C7,P613,CONTROL 7,Sample,,,,,,,,,,,,,,,,,,,,,
7,CK def,2005,Cooked - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
8,FE def,2007,Feed - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
9,C8,P614,CONTROL 8,Sample,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Test_Name,Section_Name,Sample_Position,Sample_Name,Product_Name,Panelist_Code,Q1_1__ACID_-_odor_similar_to_buttermilk/yogurt,Q1_2__ASTRINGENT_-_drying__chalky__roughing_of_mouth_tissues,Q1_3__BARNY/COWY_-_unclean_barn_conditions/medicinal_aftertaste_(Comment_ALSO),Q1_4__BITTER-_lingering_aftertaste_as_from_grapefruit/strong_coffee/tonic_water,Q1_5__COOKED_-_from_sweet__pleasant_as_heated_for_hot_chocolate_to_sulfurous,Q1_6__FEED_-_sweet_hay_odor/grassy_flavor_(or_fermented_silage/alcohol),Q1_7__FLAT_-_watery_and/or_tasteless__less_sweet_than_normal_milk_of_this_type,Q1_8__FOREIGN/CHEMICAL_-_chlorine__sanitizer__cow_med___exhaust_fumes__citrus__etc_,Q1_9__FRUITY/FERMENTED_-_pineapple__strawberry__etc___fruity_odor_or_vinegar-like,"Q1_10__LACKS_FRESHNESS-_old-tasting_""blah""_milk_lacking_specific_characteristic",Q1_11__LIGHT_OXIDIZED_-_plasticy_chemical/medicinal_or_tallowy__burnt_feathers,Q1_12__LIPID_OXIDIZED_-_old_oil_odor__may_be_slick_on_lips,Q1_13__MALTY_-_like_GrapeNuts_cereal__malt-balls__-drinks__or_-waffles__or_beer_grains,"Q1_14__MILK_CARTON_-_stale_""refrigerated_air""_odor/taste__cardboard_too_long_in_fridge",Q1_15__RANCID_-_pungent_odor_like_provolone__like_baby_vomit_when_rubbed_to_hot_on_wrist,Q1_16__UNCLEAN_-_putrid_odor_as_of_old_mop_water/dirty_socks__lingering_flavor,Q1_17__COAGULATED-_chunks_on_side_of_cup_when_swirled_-_RATE_0_0,Q1_18__OTHER_-_rate__then_ALSO_describe_in_COMMENTS,Q1_19__OVERALL_FLAVOR_-_if_<9_0__you_MUST_rate_an_Attribute_or_COMMENT,Q3__Comment
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,1,A def,Acid - DEF,ap262,1.5,,,,,,,,,,,,,,,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,3,C5,CONTROL 5,ap262,,,,,1,,1,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,5,R def,Rancid - DEF,ap262,,,,,,,,,,,,,,,1.5,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,7,FLdef,Flat - DEF,ap262,,,,,,,1,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,9,C6,CONTROL 6,ap262,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,8,C7,CONTROL 7,ap262,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,6,CK def,Cooked - DEF,ap262,,,,,2.5,,,,,,,,,,,,,,5,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,4,FE def,Feed - DEF,ap262,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,2,C8,CONTROL 8,ap262,,,,,1,,1,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,2,A def,Acid - DEF,jat324,1,,,,,,,,,,,,,,,,,,3,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,1,C5,CONTROL 5,jat324,,,,,1,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,3,R def,Rancid - DEF,jat324,,,,,,,,,,,,,,,2,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,5,FLdef,Flat - DEF,jat324,,,,,,,2,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,7,C6,CONTROL 6,jat324,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,9,C7,CONTROL 7,jat324,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,8,CK def,Cooked - DEF,jat324,,,,,2,,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,6,FE def,Feed - DEF,jat324,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,4,C8,CONTROL 8,jat324,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,4,A def,Acid - DEF,at543,2,,,,,,,,,,,,,,,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,2,C5,CONTROL 5,at543,,,,,,,,,,,,,,,,,,,9.8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,1,R def,Rancid - DEF,at543,,,,,,,,,,,,,,,2,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,3,FLdef,Flat - DEF,at543,,,,,,,2,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,5,C6,CONTROL 6,at543,,,,,,,,,,,,,,,,,,,9.8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,7,C7,CONTROL 7,at543,,,,,,,,,,,,,,,,,,,9.8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,9,CK def,Cooked - DEF,at543,,,,,2,,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,8,FE def,Feed - DEF,at543,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,6,C8,CONTROL 8,at543,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,6,A def,Acid - DEF,sjr267,2,,,,,,,,,,,,,,,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,4,C5,CONTROL 5,sjr267,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,2,R def,Rancid - DEF,sjr267,,,,,,,,,,,,,,,2,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,1,FLdef,Flat - DEF,sjr267,,,,,,,2,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,3,C6,CONTROL 6,sjr267,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,5,C7,CONTROL 7,sjr267,,,,,,,2,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,7,CK def,Cooked - DEF,sjr267,,,,,2,,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,9,FE def,Feed - DEF,sjr267,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,8,C8,CONTROL 8,sjr267,,,,,,,2,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,8,A def,Acid - DEF,nrs13,2,,,,,,,,,,,,,,,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,6,C5,CONTROL 5,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,4,R def,Rancid - DEF,nrs13,,,,,,,,,,,,,,,2,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,2,FLdef,Flat - DEF,nrs13,,,,,,,2,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,1,C6,CONTROL 6,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,3,C7,CONTROL 7,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,5,CK def,Cooked - DEF,nrs13,,,,,2,,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,7,FE def,Feed - DEF,nrs13,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,9,C8,CONTROL 8,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,9,A def,Acid - DEF,aj425,2,,,,,,,,,,,,,,,,,,1,Nt
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,8,C5,CONTROL 5,aj425,,,,,,,,,,,,,,,,,,,9.8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,6,R def,Rancid - DEF,aj425,,,,,,,,,,,,,,,1,,,,4,Nt
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,4,FLdef,Flat - DEF,aj425,,,,,,,,,,,,,,,,,,,9.8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,2,C6,CONTROL 6,aj425,,,,,,,,,,,,,,,,,,,9.8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,1,C7,CONTROL 7,aj425,,,,,,,,,,,,,,,,,,,9.8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,3,CK def,Cooked - DEF,aj425,,,,,2,,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,5,FE def,Feed - DEF,aj425,,,,,,1,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,7,C8,CONTROL 8,aj425,,,,,,,,,,,,,,,,,,,9.8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,7,A def,Acid - DEF,ram524,2,,,,,,,,,,,,,,,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,9,C5,CONTROL 5,ram524,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,8,R def,Rancid - DEF,ram524,,,,,,,,,,,,,,,2,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,6,FLdef,Flat - DEF,ram524,,,,,,,2,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,4,C6,CONTROL 6,ram524,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,2,C7,CONTROL 7,ram524,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,1,CK def,Cooked - DEF,ram524,,,,,2,,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,3,FE def,Feed - DEF,ram524,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,5,C8,CONTROL 8,ram524,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,5,A def,Acid - DEF,kg292,2,,,,,,,,,,,,,,,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,7,C5,CONTROL 5,kg292,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,9,R def,Rancid - DEF,kg292,,,,,,,,,,,,,,,2,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,8,FLdef,Flat - DEF,kg292,,,,,,,2,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,6,C6,CONTROL 6,kg292,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,4,C7,CONTROL 7,kg292,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,2,CK def,Cooked - DEF,kg292,,,,,2,,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,1,FE def,Feed - DEF,kg292,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,3,C8,CONTROL 8,kg292,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,3,A def,Acid - DEF,ab2525,2,,,,,,,,,,,,,,,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,5,C5,CONTROL 5,ab2525,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,7,R def,Rancid - DEF,ab2525,,,,,,,,,,,,,,,1,,,,4,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,9,FLdef,Flat - DEF,ab2525,,,,,,,2,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,8,C6,CONTROL 6,ab2525,,,,,,,1,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,6,C7,CONTROL 7,ab2525,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,4,CK def,Cooked - DEF,ab2525,,,,,2,,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,2,FE def,Feed - DEF,ab2525,,,,,,1,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,1,C8,CONTROL 8,ab2525,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,9,A def,Acid - DEF,yy622,2,,,,,,,,,,,,,,,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,7,C5,CONTROL 5,yy622,,,,,1,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,5,R def,Rancid - DEF,yy622,,,,,,,,,,,,,2,,,,,,3,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,3,FLdef,Flat - DEF,yy622,,,,,,,2,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,1,C6,CONTROL 6,yy622,,,,,,,,,,,,,,,2,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,2,C7,CONTROL 7,yy622,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,4,CK def,Cooked - DEF,yy622,,,,,2,,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,6,FE def,Feed - DEF,yy622,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,8,C8,CONTROL 8,yy622,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,8,A def,Acid - DEF,av354,2,,,,,,,,,,,,,,,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,9,C5,CONTROL 5,av354,,,,,1,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,7,R def,Rancid - DEF,av354,,,,,,,,,,,,,,,2,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,5,FLdef,Flat - DEF,av354,,,,,,,1,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,3,C6,CONTROL 6,av354,,,,,1,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,1,C7,CONTROL 7,av354,,,,,,,,,,,,,,1,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,2,CK def,Cooked - DEF,av354,,,,,2,,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,4,FE def,Feed - DEF,av354,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,6,C8,CONTROL 8,av354,,,,,,,,,,,,,,,,,,,10,Control
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,6,A def,Acid - DEF,cjh263,2,,,,,,,,,,,,,,,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,8,C5,CONTROL 5,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,9,R def,Rancid - DEF,cjh263,,,,,,,,,,,,,,,2,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,7,FLdef,Flat - DEF,cjh263,,,,,,,2,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,5,C6,CONTROL 6,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,3,C7,CONTROL 7,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,1,CK def,Cooked - DEF,cjh263,,,,,2,,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,2,FE def,Feed - DEF,cjh263,,,,,,1,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,4,C8,CONTROL 8,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,4,A def,Acid - DEF,eg554,2,,,,,,,,,,,,,,,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,6,C5,CONTROL 5,eg554,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,8,R def,Rancid - DEF,eg554,,,,,,,,,,,,,,,2,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,9,FLdef,Flat - DEF,eg554,,,,,,,2,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,7,C6,CONTROL 6,eg554,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,5,C7,CONTROL 7,eg554,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,3,CK def,Cooked - DEF,eg554,,,,,2,,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,1,FE def,Feed - DEF,eg554,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,2,C8,CONTROL 8,eg554,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,2,A def,Acid - DEF,sw38,2,,,,,,,,,,,,,,,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,4,C5,CONTROL 5,sw38,,,,,,,,,,,,,,,,,,1,9,"No sweet smell to convince me control, maybe flat but ran out of sample..."
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,6,R def,Rancid - DEF,sw38,,,,,,,,,,,,,,,2,,,,1,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,8,FLdef,Flat - DEF,sw38,,,,,,,1,,,,,,,,,,,,8.7,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,9,C6,CONTROL 6,sw38,,,,,,,,,,,,,,,,,,1,8.8,"Didn't detect a strong smell, tasted kind of blah, milk carton, flat, ran out of sample"
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,7,C7,CONTROL 7,sw38,,,,,1,,,,,,,,,,,,,,9,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,5,CK def,Cooked - DEF,sw38,,,,,2,,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,3,FE def,Feed - DEF,sw38,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 050616 Spring 2016,2% WHITE MILK,1,C8,CONTROL 8,sw38,,,,,,,,,,,,,,,,,,,9,"Did not detect smell, a bit blah, control?"
,,,,,,,,,,,,,,,,,,,,,,,,,
Test Name,Description,Test Status,Test Owner,Saved for,Test Language,Test Expiry,,,,,,,,,,,,,,,,,,,
Post-Eval SKIM PM 050616 Spring 2016,New Test,Ready To Run,Nancy Carey,Cornell,English,5/21/2016,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Section Name,SKIM WHITE MILK ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Sample Name,Product Code,Product Name,Sample Type,,,,,,,,,,,,,,,,,,,,,
1,B def,2003,Bitter - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
2,C1,P607,CONTROL 1,Sample,,,,,,,,,,,,,,,,,,,,,
3,FL def,2009,Flat - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
4,M  def,2015,Malty - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
